[2022-06-01 18:10:08,946] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['4주차', '11주차', '1주차', 'txt', '2주차', '10주차']종류별로 정리 되었습니다.
[2022-06-01 18:10:12,716] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['4주차', '11주차', '1주차', 'txt', '2주차', '10주차']종류별로 정리 되었습니다.
[2022-06-01 18:10:43,712] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['4주차', '1주차', 'txt', '2주차', '10주차', '11주차']종류별로 정리 되었습니다.
[2022-06-01 18:11:08,526] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['4주차', '1주차', 'txt', '2주차', '10주차', '11주차']종류별로 정리 되었습니다.
[2022-06-01 18:14:08,924] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['txt', '2주차', '1주차', '4주차', '10주차', '11주차']종류별로 정리 되었습니다.
[2022-06-01 18:15:44,119] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['1주차', '2주차', '10주차', '4주차', 'txt', '11주차']종류별로 정리 되었습니다.
[2022-06-01 18:16:15,905] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['4주차', 'txt', '1주차', '11주차', '10주차', '2주차']종류별로 정리 되었습니다.
[2022-06-01 18:18:56,072] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['11주차', '2주차', 'txt', '4주차', '1주차', '10주차']종류별로 정리 되었습니다.
[2022-06-01 18:19:10,399] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['11주차', '2주차', 'txt', '4주차', '1주차', '10주차']종류별로 정리 되었습니다.
[2022-06-01 18:20:28,736] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['10주차', '4주차', 'txt', '11주차', '2주차', '1주차']종류별로 정리 되었습니다.
[2022-06-01 18:21:49,293] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['10주차', '2주차', 'txt', '1주차', '11주차', '4주차']종류별로 정리 되었습니다.
[2022-06-01 18:26:19,162] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['11주차', 'txt', '1주차', '4주차', '2주차', '10주차']종류별로 정리 되었습니다.
[2022-06-01 18:27:46,920] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/topcit에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['pdf']종류별로 정리 되었습니다.
